epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3133,1.00845,2.92683,1.57275,0.00384,1,0.414,0.27489,0.49877,3.56079,1.29261,0.00013336,0.00013336,0.00013336
2,67.2816,0.79064,2.13116,1.40621,0.00459,1,0.43645,0.25541,0.64901,3.45568,1.39089,0.000277779,0.000277779,0.000277779
3,100.238,0.74927,1.7271,1.34689,0.8312,0.28317,0.69187,0.50636,0.71116,3.16001,1.5337,0.000416257,0.000416257,0.000416257
4,136.868,0.77714,1.59817,1.37196,0.88754,0.1459,0.72342,0.45913,0.79385,3.14932,1.54436,0.000548793,0.000548793,0.000548793
5,174.716,0.74954,1.54744,1.34285,0.78,0.68492,0.88085,0.56899,0.87918,2.9002,1.72044,0.000675388,0.000675388,0.000675388
6,212.431,0.72989,1.41143,1.32066,0.62137,0.5682,0.71931,0.44462,1.08019,2.54983,2.15552,0.000796043,0.000796043,0.000796043
7,249.984,0.7526,1.36492,1.32464,0.72685,0.51471,0.70925,0.41971,1.23912,2.66777,2.37733,0.000910755,0.000910755,0.000910755
8,287.128,0.7629,1.36743,1.3473,0.37065,0.69853,0.55142,0.24984,1.38712,3.18907,2.43857,0.00101953,0.00101953,0.00101953
9,324.528,0.8669,1.44606,1.42638,0.48518,0.82353,0.78026,0.40185,1.1092,3.65941,2.12101,0.00112236,0.00112236,0.00112236
10,361.683,0.76863,1.37795,1.31874,0.527,0.57464,0.59471,0.24246,1.39595,3.03286,2.64555,0.00121925,0.00121925,0.00121925
11,398.819,0.82742,1.40244,1.40152,0.5879,0.72335,0.75479,0.42308,1.28056,2.70125,2.80572,0.0013102,0.0013102,0.0013102
12,435.661,0.77622,1.30886,1.32129,0.64911,0.64951,0.72597,0.4463,1.11042,3.94745,2.48216,0.00130393,0.00130393,0.00130393
13,474.187,0.78754,1.30908,1.3758,0.65377,0.5,0.56211,0.27907,1.66073,2.75306,3.30155,0.00127092,0.00127092,0.00127092
14,507.751,0.8461,1.33502,1.41173,0.66794,0.76931,0.57189,0.2725,1.55179,2.66943,2.66673,0.00123791,0.00123791,0.00123791
15,538.396,0.72074,1.22327,1.31428,0.7909,0.76903,0.74147,0.39711,1.29939,2.30818,2.18223,0.00120491,0.00120491,0.00120491
16,569.198,0.77869,1.18708,1.34371,0.83752,0.65286,0.73059,0.46058,0.93835,2.5216,1.69976,0.0011719,0.0011719,0.0011719
17,600.227,0.7121,1.19853,1.33975,0.85324,0.75714,0.86368,0.51223,1.08493,2.95108,2.0128,0.00113889,0.00113889,0.00113889
18,632.508,0.74947,1.08784,1.31782,0.62489,0.83165,0.80972,0.43012,1.20526,3.04058,2.32701,0.00110589,0.00110589,0.00110589
19,664.18,0.67967,1.05906,1.27772,0.75045,0.86808,0.88456,0.55826,1.05062,2.62904,2.10724,0.00107288,0.00107288,0.00107288
20,695.778,0.68009,1.07757,1.28084,0.80304,0.89219,0.91207,0.61064,0.98055,1.59581,1.89361,0.00103987,0.00103987,0.00103987
21,727.6,0.68952,1.05499,1.28809,0.84443,0.87119,0.93718,0.68759,0.83906,1.54251,1.59903,0.00100687,0.00100687,0.00100687
22,764.935,0.7405,1.01491,1.34626,0.98895,0.95833,0.98324,0.79057,0.75883,1.13936,1.50514,0.000973861,0.000973861,0.000973861
23,801.947,0.68853,1.0144,1.29683,0.99695,0.94398,0.985,0.74755,0.78919,1.07475,1.56671,0.000940855,0.000940855,0.000940855
24,838.999,0.73968,1.02219,1.31831,0.85376,0.97855,0.97091,0.7372,0.81923,1.25541,1.45632,0.000907848,0.000907848,0.000907848
